AT1G01453	6	4	7	5	14	1	0	0	17
AT1G01460	0	0	0	0	0	0	0	0	0
AT1G01470	354	625	518	93	489	265	417	386	283
AT1G01480	65	217	67	14	69	55	57	9	40
AT1G01490	6725	5323	9454	2519	5037	6174	4085	3981	3122
AT1G01500	357	420	369	293	525	479	431	334	411
AT1G01510	1209	1566	1538	475	1227	1184	1074	1195	1006
AT1G01520	8	28	10	2	5	38	46	24	19
AT1G01530	0	0	0	0	0	0	0	0	0
AT1G01540	2750	3037	3664	883	2214	2571	2589	2346	1835
AT1G01550	2689	3605	3011	794	2375	2763	2738	2365	2461
AT1G01560	87	110	176	5	120	68	54	80	101
AT1G01570	9	16	29	5	70	28	34	33	11
AT1G01580	684	321	503	263	321	861	1335	1010	358
AT1G01590	0	0	2	3	21	0	13	0	1
AT1G01600	312	266	364	78	395	286	177	124	145
AT1G01610	1163	1248	1514	530	1070	915	1235	992	915
AT1G01620	4894	7150	6905	2788	6035	6968	6538	5154	6355
AT1G01630	1144	1603	1704	473	1216	1208	1056	946	948
AT1G01640	25	63	102	19	43	55	58	7	67
AT1G01650	1132	1688	1791	247	1178	1391	1188	1019	1001
AT1G01660	21	67	85	64	23	46	19	53	58
AT1G01670	24	0	12	15	15	71	29	14	47
AT1G01680	34	14	19	14	7	17	3	30	13
AT1G01690	175	282	344	64	128	242	188	221	148
AT1G01695	6	0	6	2	20	11	0	6	2
AT1G01700	13	45	119	16	24	24	39	22	83
AT1G01710	606	958	764	195	782	690	585	569	416
AT1G01715	127	123	182	27	142	147	73	154	122
AT1G01720	347	602	599	156	480	352	368	251	378
AT1G01725	101	199	216	52	123	99	98	178	149
AT1G01730	311	524	351	203	433	496	343	329	476
AT1G01740	171	264	189	29	219	226	175	310	149
AT1G01750	106	271	154	23	93	66	51	94	74
AT1G01760	121	93	240	50	215	144	133	92	121
AT1G01770	935	1065	1117	261	988	1182	939	897	788
AT1G01780	162	178	169	39	215	183	155	159	108
AT1G01790	3403	4729	5669	979	3196	3486	3498	4005	2302
AT1G01800	946	1052	1339	230	1167	1064	933	850	826
AT1G01810	6	9	27	7	1	51	0	3	6
AT1G01820	2212	2515	2421	941	2148	2505	1968	1687	1974
AT1G01830	663	798	1220	354	690	1202	516	589	520
AT1G01840	4	0	1	11	21	32	32	24	53
AT1G01860	116	119	221	58	291	174	163	223	135
AT1G01880	122	107	86	49	228	172	122	163	110
AT1G01900	78	163	173	76	60	74	91	119	82
AT1G01910	1157	1838	1765	369	1609	1541	1408	1306	996
AT1G01920	530	800	930	128	519	604	489	466	387
AT1G01930	391	686	726	199	261	598	319	491	414
AT1G01940	258	246	480	103	249	111	169	231	211
AT1G01950	590	948	1140	222	733	838	553	581	576
AT1G01960	2687	3811	4795	850	2742	3742	3814	3679	2658
AT1G01970	848	1206	1384	273	745	802	842	942	596
AT1G01980	0	0	6	1	0	0	0	18	0
AT1G01990	297	374	431	221	448	327	291	382	482
AT1G02000	321	372	516	131	323	220	285	165	325
AT1G02010	169	183	272	58	98	214	197	146	112
AT1G02020	229	355	382	330	144	369	435	371	412
AT1G02030	17	42	55	8	19	7	23	8	9
AT1G02040	0	0	0	0	0	0	0	0	0
AT1G02050	170	154	255	78	115	87	197	148	181
AT1G02060	137	302	293	53	179	294	180	185	156
AT1G02065	32	2	70	38	39	60	10	13	45
